Result,Description,Lat,Lng,Image,Detail
東立川公園(ねぶた公園)に新しいフェンスを延伸整備,これまでの万年塀が老朽化しており、周辺住民の皆様より、新しいフェンスに変えてほしいとのご要望をいただいておりました。,35.696211,139.429595,p43,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
羽衣町サンドラッグ東側歩道の草刈りを実施,毎朝犬の散歩をする住民の方より、歩道に草が茂って足が取られ危ないので刈ってほしいとの声がありました。,35.691908,139.428975,p44,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
クラウンベーカリー前交差点に東西の歩行者信号を設置,錦町2丁目クラウンベーカリー前交差点に念願の東西の歩行者信号が設置されました。何年も前から錦町地域の懸案として話題になっていました。,35.695327,139.417169,p45,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町４丁目都営団地にエレベーターを設置,錦町４丁目都営団地に待望のエレベーターが設置されました。,35.690391,139.42069,p46,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
立川駅南口高架下にベンチを設置,南口モノレール下の未利用だった歩道空間にベンチが設置されました。立川のＴを由来とした「Ｔベンチ」、居心地の良い街並み形成に向けて一歩を踏み出します。,35.697250,139.413389,p47,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
南口いろは通りを相互通行路として整備,南口いろは通り(市道１級７号線）が相互通行路として整備されました。バスの通行によりレトロな雰囲気も醸し出された景観の良い道路が整備されました。,35.697167,139.414750,p48,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町１丁目14～15番地　私道舗装工事が完了,約２００ｍに渡る舗装改修工事が完了し、平坦で利用者の皆様が快適に歩ける道路が整備されました。,35.697472,139.420528,p49,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
オニ公園(錦第二公園）が再整備（リニューアル）,凸凹のない、学校と同等の砂の広場に再舗装されました。ベンチも新しく入れ替わり、より快適で安全な環境が整備されました。声を挙げていただいた周辺住民の皆様、大変にありがとうございました！,35.69763,139.41840,p50,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町３丁目６-20番地 錦町消防署前に一方通行路に飛び出し注意の看板を設置,従来より車の通行の多さとともに、スピードを出す車も多く、注意喚起してほしいとの声をいただいておりました。今後手前の電柱にも、もう一基「スピード注意」の看板を追加で取り付ける予定です。,35.69277,139.41722,p51,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町１丁目１７-20番地の公共汚水桝を入れ替え,老朽化で段差が生まれ、マンションにお住いの方から、危ないとの声をいただき、安全な足場となりました。,35.69641,139.42100,p52,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
立川市中央図書館に学習室（自習室）の設置が決定,以前より中高生及び保護者の方から、図書館に勉強できる自習室を設けてほしい、という声やニーズを聞き、市に要望をしていました。,35.70230,139.41392,p53,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町５丁目１０-23番地 旧甲州街道斜路の飛び出し注意喚起の看板付け替え,近隣住宅の子育て中の父親の方から、子どもが遊んで道路に出る際、大変危険であるとの声がありました。斜路途中の老朽化した看板を付け替え、改めての注意喚起を行いました。,35.68858,139.41202,p54,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
羽衣町２丁目３２-1番地 ６小南門前十字路にカーブミラーを設置,南門沿道の住民の方から、車でバス通りに出る際、右側から来る車が視野に入らず危険との声が寄せられていました。,35.69440,139.42689,p55,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
錦町２丁目５番地 クラウンベーカリー前横断歩道の路面を改修,私道沿道の住民の方から、Ｔ字路から公道に出る際、見通しが悪く、右側から来る車や自転車への衝突の不安があるとのご相談をいただきました。声を挙げ、署名をいただいた皆様、ありがとうございました。,35.69450,139.41638,p56,https://www.komei.or.jp/km/tachikawa-fukushima-masami/achievements/
